Concentration ,Red ,Orange ,Yellow,Green,Blue ,Violet
4,0.264082174,0.237011405,0.272693272,0.247573964,0.213454545,0.263265306
4,0.114314115,0.157237548,0.182087385,0.136331361,0.489818182,0.195238095
4,0.449900596,0.45477142,0.484670216,0.482130178,0.268727273,0.472789116
4,0.261431412,0.245433278,0.241364896,0.222366864,0.236727273,0.249659864
4,0.238634858,0.197592358,0.237844854,0.202485207,0.321090909,0.225170068
6,0.313386349,0.1704942,0.226158314,0.137751479,0.303636364,0.236054422
6,0.313386349,0.248279559,0.296171954,0.22,0.222181818,0.293197279
6,0.239960239,0.171235013,0.211338936,0.152899408,0.318181818,0.219727891
6,0.302518224,0.317214153,0.310287323,0.294201183,0.350181818,0.314965986
6,0.313121272,0.337606004,0.3166938,0.309112426,0.196,0.323129252
6,0.214247846,0.171663905,0.173850486,0.157869822,0.265818182,0.181632653
6,0.262491716,0.229369334,0.261006732,0.23443787,0.201818182,0.252380952
6,0.223525514,0.163436982,0.17170326,0.14260355,0.42,0.18707483
6,0.376739563,0.393283946,0.413565363,0.409940828,0.184363636,0.402040816
6,0.20417495,0.163553953,0.168640824,0.147810651,0.294909091,0.176190476
8,0.316037111,0.214475095,0.259246711,0.161538462,0.300727273,0.27414966
8,0.323194168,0.238181109,0.286034232,0.219053254,0.268727273,0.306802721
8,0.275215374,0.23092894,0.248862586,0.210887574,0.225090909,0.249659864
8,0.243141153,0.198372161,0.195357944,0.173727811,0.228,0.208843537
8,0.251358516,0.144019885,0.1916619,0.134201183,0.230909091,0.18707483
8,0.254274354,0.201257432,0.207220487,0.177869822,0.254181818,0.219727891
8,0.253214049,0.221961205,0.251784221,0.218816568,0.204727273,0.244217687
8,0.224585818,0.175601911,0.177933735,0.16,0.367636364,0.18707483
8,0.347316103,0.326571791,0.355484666,0.332189349,0.428727273,0.344897959
10,0.407753479,0.404552101,0.400541206,0.383786982,0.178545455,0.41292517
10,0.180848244,0.13013939,0.167268007,0.131360947,0.225090909,0.159863946
10,0.242345924,0.192796569,0.194794738,0.16556213,0.396727273,0.208843537
10,0.389463221,0.334447802,0.367241607,0.344497041,0.629454545,0.363945578
10,0.595427435,0.551661955,0.604950059,0.592426036,0.353090909,0.597959184
10,0.333001988,0.298537869,0.336089233,0.315147929,0.26,0.323129252
10,0.271769384,0.249254313,0.241118493,0.235502959,0.306545455,0.244217687
10,0.286348575,0.29612048,0.307013684,0.288994083,0.158181818,0.304081633
10,0.174221339,0.132361829,0.143894927,0.120946746,0.1,0.146258503
